Summary of LSM hooks found:

read: apparmor_file_permission, security_file_permission
write: No LSM hooks found
open: security_file_alloc, apparmor_file_open, security_file_open, apparmor_file_alloc_security, apparmor_current_getlsmblob_subj, security_inode_follow_link, security_inode_permission, security_current_getlsmblob_subj
close: No LSM hooks found
stat: apparmor_inode_getattr, security_inode_getattr
fstat: apparmor_inode_getattr, security_inode_getattr
lstat: No LSM hooks found
poll: No LSM hooks found
lseek: No LSM hooks found
mmap: apparmor_mmap_file, apparmor_current_getlsmblob_subj, security_vm_enough_memory_mm, security_mmap_file, security_mmap_addr, security_current_getlsmblob_subj
mprotect: apparmor_file_mprotect, security_file_mprotect
munmap: No LSM hooks found
brk: No LSM hooks found
rt_sigaction: No LSM hooks found
rt_sigprocmask: No LSM hooks found
rt_sigreturn: No LSM hooks found
ioctl: No LSM hooks found
pread: apparmor_file_permission, security_file_permission
pwrite: No LSM hooks found
readv: No LSM hooks found
writev: No LSM hooks found
access: security_inode_permission
pipe: No LSM hooks found
select: No LSM hooks found
sched_yield: No LSM hooks found
mremap: No LSM hooks found
msync: No LSM hooks found
mincore: No LSM hooks found
madvise: No LSM hooks found
shmget: No LSM hooks found
shmat: No LSM hooks found
shmctl: No LSM hooks found
dup: No LSM hooks found
dup2: No LSM hooks found
pause: No LSM hooks found
nanosleep: No LSM hooks found
getitimer: No LSM hooks found
alarm: No LSM hooks found
setitimer: No LSM hooks found
getpid: No LSM hooks found
sendfile: No LSM hooks found
socket: No LSM hooks found
connect: No LSM hooks found
accept: No LSM hooks found
sendto: No LSM hooks found
recvfrom: No LSM hooks found
sendmsg: No LSM hooks found
recvmsg: No LSM hooks found
shutdown: No LSM hooks found
bind: No LSM hooks found
listen: No LSM hooks found
getsockname: No LSM hooks found
getpeername: No LSM hooks found
socketpair: No LSM hooks found
setsockopt: No LSM hooks found
getsockopt: No LSM hooks found
clone: No LSM hooks found
fork: No LSM hooks found
vfork: No LSM hooks found
execve: security_file_permission, apparmor_current_getlsmblob_subj, security_bprm_creds_for_exec, security_inode_permission, apparmor_bprm_committed_creds, security_current_getlsmblob_subj, security_file_alloc, apparmor_mmap_file, security_cred_getlsmblob, security_bprm_check, apparmor_file_alloc_security, apparmor_bprm_committing_creds, security_bprm_committing_creds, security_bprm_committed_creds, apparmor_file_open, security_prepare_creds, apparmor_bprm_creds_for_exec, apparmor_file_permission, security_vm_enough_memory_mm, security_mmap_file, security_mmap_addr, security_bprm_creds_from_file, security_file_open, security_inode_follow_link, security_get, apparmor_cred_prepare
exit: security_file_free, apparmor_socket_sock_rcv_skb, apparmor_file_free_security, security_sk_classify_flow, security_sock_rcv_skb, apparmor_ip_postroute
wait4: No LSM hooks found
kill: No LSM hooks found
uname: No LSM hooks found
semget: No LSM hooks found
semop: No LSM hooks found
semctl: No LSM hooks found
shmdt: No LSM hooks found
msgget: No LSM hooks found
msgsnd: No LSM hooks found
msgrcv: No LSM hooks found
msgctl: No LSM hooks found
fcntl: No LSM hooks found
flock: No LSM hooks found
fsync: No LSM hooks found
fdatasync: No LSM hooks found
truncate: No LSM hooks found
ftruncate: No LSM hooks found
getdents: No LSM hooks found
getcwd: No LSM hooks found
chdir: No LSM hooks found
fchdir: No LSM hooks found
rename: No LSM hooks found
mkdir: No LSM hooks found
rmdir: No LSM hooks found
creat: No LSM hooks found
link: apparmor_socket_sock_rcv_skb, security_sock_rcv_skb, security_inode_follow_link, apparmor_ip_postroute, security_inode_permission
